"challenge_id","sha256","filename","source_path","document_type_gold","source_dataset","historical_status","extraction_method","template_family","language","source_reference","annotation_status","notes"
"FC-INV-011","054edfa35e06f548a5b3dc49ce5a24a985ec58595122837216e486ae295f1c02","invoice_Aimee Bixby_39796.pdf","sample_invoices/invoice_Aimee Bixby_39796.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 39796; selected from the fresh eligible invoice pool."
"FC-INV-012","216ad286a4ae7df875f8156e03bf9e6da38129245e067a71689ab53743b05f11","invoice_Maribeth Dona_1259.pdf","sample_invoices/invoice_Maribeth Dona_1259.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 1259; selected from the fresh eligible invoice pool."
"FC-INV-013","0b18d407f051bddcc2444389bbef84c1f7602f19cb4aa76006e112d0b5bfc4ee","invoice_Pauline Webber_4078.pdf","sample_invoices/invoice_Pauline Webber_4078.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 4078; selected from the fresh eligible invoice pool."
"FC-INV-014","f7eefdbbf2b0bf37e6f4146364b2f748868ceefab6ef053b6d36e347f902090e","invoice_Adrian Barton_35580.pdf","sample_invoices/invoice_Adrian Barton_35580.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 35580; selected from the fresh eligible invoice pool."
"FC-INV-015","a470ec23521b7a70fc6b3466d5ca76b3979534a24efcf7c2e207cfaecfc1d2f9","invoice_Stuart Calhoun_11014.pdf","sample_invoices/invoice_Stuart Calhoun_11014.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 11014; selected from the fresh eligible invoice pool."
"FC-INV-016","37e488864ec9bd4716330f3b0353dc652f0d45c215bf0f40c6e6e1111cc46e8e","invoice_Harold Engle_3942.pdf","sample_invoices/invoice_Harold Engle_3942.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 3942; selected from the fresh eligible invoice pool."
"FC-INV-017","58bffda7bc7f745613d5d3d26f2ebafb0794170d03c4732ad631becf5cf033ca","invoice_Alan Barnes_36600.pdf","sample_invoices/invoice_Alan Barnes_36600.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 36600; selected from the fresh eligible invoice pool."
"FC-INV-018","a5bffcb5ede00cef410db8483f014aea7cbfd01c12cd183b7bdee2f5578d246b","invoice_Arthur Wiediger_33504.pdf","sample_invoices/invoice_Arthur Wiediger_33504.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 33504; selected from the fresh eligible invoice pool."
"FC-REC-001","17399de2b712cdd95cb0fb8b55f92d193540907e5206bb07dc149c319f167c9e","20210323_181451.jpg","external_evaluation_data/classifier_receipts/20210323_181451.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","pingo_doce_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS supermarket grocery receipt; merchant Pingo Doce; Fatura Simplificada FS 03650041901010625/011189; itemized retail transaction with VAT breakdown and till timestamp."
"FC-REC-002","62bc97f505c619c543478921526d055dc36784ba4d291687690597fd344198d3","20210322_161137.jpg","external_evaluation_data/classifier_receipts/20210322_161137.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","worten_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS retail consumer electronics receipt; merchant Worten; Fatura Simplificada FS BJY001/014951; counter payment slip with cashier till ID."
"FC-REC-003","eba5ce64598c84e3fc1cbe00df24c4434f3b76244e1a1903821a72bc19e455cb","20210320_164056.jpg","external_evaluation_data/classifier_receipts/20210320_164056.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","bp_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS fuel and service station receipt; merchant BP; Fatura Simplificada FS 27406_004/363327; pump transaction with fuel volume and immediate payment."
"FC-REC-004","2e45f21f6278df7ea966e345b3b08eb5150301e20d5b767ecdf74f3a7d85de1f","20210428_191514.jpg","external_evaluation_data/classifier_receipts/20210428_191514.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","galp_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS service station receipt; merchant Galp; Fatura-Recibo FR 1155475201911AVG/314; point-of-sale retail cash receipt."
"FC-REC-005","bbdbf37022330ecd4ba77300da0f9a0c5f3d786f4e88a99458ba2e8c7825e99b","20210323_171146.jpg","external_evaluation_data/classifier_receipts/20210323_171146.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","repsol_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS fuel service station receipt; merchant Repsol; Fatura-Recibo FR 4371TPV3/390007838; TPV terminal slip with immediate card payment."
"FC-REC-006","eb5325dc4405ff0ea5134b4cb37a05d4a61e1287ecdf20a28745ef5e7447be82","20210507_173625.jpg","external_evaluation_data/classifier_receipts/20210507_173625.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","continente_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS supermarket grocery receipt; merchant Continente / Modelo Continente Hipermercados; Fatura Simplificada FS AA1046/240307; retail till slip."
"FC-REC-007","35d11d6a97e98a5e3f4a65c6d860d54884fd124af9b82720e7052b002cda9188","20210323_170725.jpg","external_evaluation_data/classifier_receipts/20210323_170725.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","lidl_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS discount supermarket receipt; merchant Lidl; Venda a Dinheiro VD 049200319/001218; cash sale till register slip."
"FC-REC-008","2ee22a61cfd87429d87f20a61f85f97dd02b475d4cd20f331432f2f143c8e6bb","20210323_165418.jpg","external_evaluation_data/classifier_receipts/20210323_165418.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","intermarche_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Thermal POS grocery supermarket receipt; merchant Intermarché; Fatura Simplificada FS S/0000897; till register slip with itemized goods and VAT summary."
"FC-REC-009","fde43acf8eb8e61d4c7153f618f189e550dacfa1a555e5458fcfdb4e32dc6a13","20210428_194831.jpg","external_evaluation_data/classifier_receipts/20210428_194831.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","h3_dining_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","POS restaurant dining till receipt; merchant h3 New Hamburgology; Fatura Simplificada FS 129/45851; food counter order receipt with POS register timestamp."
"FC-REC-010","c8076fe347416229dd3bd62aecf19a2dd6149b73e4a518179398dadf5acef110","20210428_153616.jpg","external_evaluation_data/classifier_receipts/20210428_153616.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","ctt_postal_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Postal service counter retail receipt; merchant CTT - Correios de Portugal; Fatura-Recibo FR CTT2019FR881074701/1235; postal counter transaction slip."
"FC-REC-011","f35392ae9968ce29368c5e674f34cb374f495f5242de48f9a8d4fd88d8d39659","20210316_223932.jpg","external_evaluation_data/classifier_receipts/20210316_223932.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","brisa_toll_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Highway toll plaza machine receipt; merchant Brisa - Concessão Rodoviária; Fatura Simplificada FS 05021061902/0018579; toll lane ticket receipt."
"FC-REC-012","03972cc96ac001bc51cf6c357298c7dc96cb6ac66a98c004780a037adb9c0bb4","20210507_214356.jpg","external_evaluation_data/classifier_receipts/20210507_214356.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","cp_rail_transit_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Railway passenger travel ticket / receipt; merchant CP - Comboios de Portugal; Fatura Simplificada FS 1663/250615; ticket counter retail transaction slip."
"FC-REC-013","e41c617b38410e041507bb227cbcac3cf270aa95e19417832d288435337aea7a","20210428_140131.jpg","external_evaluation_data/classifier_receipts/20210428_140131.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","botaminuto_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Retail counter service receipt; merchant Botaminuto; Fatura-Recibo FTR 6/2784; shoe repair and retail key service POS slip."
"FC-REC-014","f51f062f08d7ed0800f1df15f20c7ddb0b824cc26866c1a0903dcc4424b8f32e","20210429_181657.jpg","external_evaluation_data/classifier_receipts/20210429_181657.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","delta_q_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Retail store & espresso cafe POS receipt; merchant Delta Q; Fatura Simplificada FS 2A1904/15202; point-of-sale retail register slip."
"FC-REC-015","7e81cb85fae945007be8aa1454c1bb7edcf14110c7ceaca1cbdd630110434594","20210322_123434.jpg","external_evaluation_data/classifier_receipts/20210322_123434.jpg","receipt","NOVA IMS Receipts and Invoices Dataset (Cruz & Castelli, 2022)","FINAL_UNSEEN","ocr_image","mourapao_bakery_pos_receipt","pt","DOI: 10.5281/zenodo.6371710","MANUAL_SOURCE_VERIFIED","Bakery and cafe POS counter receipt; merchant Pastelaria Mourapão II; POS register slip 014/6892; cash counter purchase slip."
"FC-PO-001","5f576fb0118dff48d35d61e708feac36440e1b87b8b370648172ff8b8555aac2","PO10049686.pdf","sample_pos/Ansell Lanka/PO10049686.pdf","purchase_order","Aethria local PO collection - Ansell Lanka","FINAL_UNSEEN","native_pdf_text","ansell_proforma_po","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: Pro-forma Purchase Order; approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-002","168a9966cbcb6113c69f02ab50463d21b5411a54359b315c776e9364de7524ef","KPO00146851.pdf","sample_pos/Hiradaramani/KPO00146851.pdf","purchase_order","Aethria local PO collection - Hiradaramani","FINAL_UNSEEN","native_pdf_text","hiradaramani_proforma_po","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: Pro forma purchase order copy; approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-003","2074d92cf4af7934625c6f403f1a539634a559c97e1737fc1b715bc5e0027320","PO No - 446161.pdf","sample_pos/Jinadasa Bennet POS/PO No - 446161.pdf","purchase_order","Aethria local PO collection - Jinadasa Bennet","FINAL_UNSEEN","native_pdf_text","jinadasa_bennet_trims_po","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: Purchase Order (Trims); approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-004","2cd40c1a0cf163a3bc16098ce19d730395ad7d6aeec173e811cf8ca3e87e7c75","RWB-TE1359  -B6Z-B9F-F3E-F66-U10-001-023-782---Heat seal- PO No - 441496....pdf","sample_pos/Jinadasa Bennet POS/RWB-TE1359  -B6Z-B9F-F3E-F66-U10-001-023-782---Heat seal- PO No - 441496....pdf","purchase_order","Aethria local PO collection - Jinadasa Bennet","FINAL_UNSEEN","native_pdf_text","jinadasa_bennet_trims_po","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: Purchase Order (Trims); approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-005","4d74ecdeb9291dcda1eb9347b6c4433ae6a2ce9643d48cf1defa4ae76dd8e477","RWB-TE1432 -B9F-C87-U10-001-023--Heat seal- PO No - 441497.pdf","sample_pos/Jinadasa Bennet POS/RWB-TE1432 -B9F-C87-U10-001-023--Heat seal- PO No - 441497.pdf","purchase_order","Aethria local PO collection - Jinadasa Bennet","FINAL_UNSEEN","native_pdf_text","jinadasa_bennet_trims_po","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: Purchase Order (Trims); approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-006","b9f87f4eebb179299db4e6cba6b24c49ffa6f6fc9bf8c8846e779c105b824308","INPO000006 SCREENLINE SEMEX P.H.P.U FERTACZ #PO - 032026 FLEX TS.PDF","sample_pos/Lalan/INPO000006 SCREENLINE SEMEX P.H.P.U FERTACZ #PO - 032026 FLEX TS.PDF","purchase_order","Aethria local PO collection - Lalan","FINAL_UNSEEN","native_pdf_text","lalan_purchase_order","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: PURCHASE ORDER; approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-007","be1d9bc69d80344895ff0e3bddb2476551e67edde403cdae1648c2777e395481","1000598004.pdf","sample_pos/Midas Lanka/1000598004.pdf","purchase_order","Aethria local PO collection - Midas Lanka","FINAL_UNSEEN","native_pdf_text","midas_purchase_order","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: PURCHASE ORDER LOCAL; approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-008","93ec6e404f4cb14d70749d258567fd25571a9b254b9ebdc3f7e8767bcf6db358","1000600798.pdf","sample_pos/Midas Lanka/1000600798.pdf","purchase_order","Aethria local PO collection - Midas Lanka","FINAL_UNSEEN","native_pdf_text","midas_purchase_order","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: PURCHASE ORDER LOCAL; approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
"FC-PO-009","12cfa1f94145b90f302f7abe84e4278fa4a2d5baf0358a531aad60d74916071b","PO#1000601852.pdf","sample_pos/Midas Safety ceylon/PO#1000601852.pdf","purchase_order","Aethria local PO collection - Midas Safety Ceylon","FINAL_UNSEEN","native_pdf_text","midas_purchase_order","en","Aethria local PO collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: PURCHASE ORDER LOCAL; approved provisional independent PO, previously source-annotated for extraction only and never classifier train/validation."
